Title,Genre,In Theaters,Critics Score,Number of Critic Ratings,Audience Score,Number of User Ratings,Budget,Box Office US & Canada,Box Office Worldwide,Runtime Minutes,Synopsis,Critics Consensus,Studio,Content Rating,URL
Inside Out,Animation,2015-06-19,98%,359,89%,136287,"$175,000,000 ","$264,317,903 ","$857,600,000 ",94,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy (Amy Poehler), Fear (Bill Hader), Anger (Lewis Black), Disgust (Mindy Kaling) and Sadness (Phyllis Smith). The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school. -- (C) Pixar","Inventive, gorgeously animated, and powerfully moving, Inside Out is another outstanding addition to the Pixar library of modern animated classics.",Disney/Pixar,PG ,https://www.rottentomatoes.com/m/inside_out_2015/
The Irishman,Mystery & Suspense,2019-11-01,96%,406,86%,1037,"$159,000,000 ","$7,000,000 ","$7,900,000 ",209,"This biographical crime thriller follows Frank Sheeran (Robert De Niro) as he recalls his past years working for the Bufalino crime family. Now older, the WWII veteran once again reflects on his most prolific hits and, in particular, considers his involvement with his good friend Jimmy Hoffa's disappearance in 1975.","An epic gangster drama that earns its extended runtime, The Irishman finds Martin Scorsese revisiting familiar themes to poignant, funny, and profound effect.",Netflix,R ,https://www.rottentomatoes.com/m/the_irishman/
Isle of Dogs,Animation,2018-04-13,90%,342,87%,8767,,"$32,015,231 ","$64,100,000 ",101,"In this stop-motion-animated film from writer/director Wes Anderson, an outbreak of canine flu in Japan leads all dogs to be quarantined on an island. A boy (voice of Koyu Rankin) journeys there to rescue his dog Spots (Liev Schreiber), and gets help from a pack of misfit canines who have also been exiled. His quest inspires a group of dog lovers to expose a government conspiracy. The voice cast also includes Bryan Cranston, Edward Norton, Bill Murray, Scarlett Johansson, Tilda Swinton, Bob Balaban, Greta Gerwig, and Yoko Ono.",The beautifully stop-motion animated Isle of Dogs finds Wes Anderson at his detail-oriented best while telling one of the director's most winsomely charming stories.,Scott Rudin Productions,PG-13 ,https://www.rottentomatoes.com/m/isle_of_dogs_2018/
It Follows,Horror,2015-04-03,96%,252,66%,44832,"$2,000,000 ","$10,705,259 ","$23,300,000 ",94,"After a strange sexual encounter, a teenager finds herself haunted by nightmarish visions and the inescapable sense that something is after her. (C) Radius-TWC","Smart, original, and above all terrifying, It Follows is the rare modern horror film that works on multiple levels -- and leaves a lingering sting.",Radius-TWC,R ,https://www.rottentomatoes.com/m/it_follows/
John Wick: Chapter 3 - Parabellum,Action & Adventure,2019-05-17,90%,325,86%,37494,"$75,000,000 ","$171,015,687 ","$326,700,000 ",131,"In this third installment of the adrenaline-fueled action franchise, super-assassin John Wick (Reeves) returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin's guild, the High Table, John Wick is excommunicado, but the world's most ruthless hit men and women await his every turn.","John Wick: Chapter 3 - Parabellum reloads for another hard-hitting round of the brilliantly choreographed, over-the-top action that fans of the franchise demand.",Lionsgate,R ,https://www.rottentomatoes.com/m/john_wick_chapter_3_parabellum/
The Jungle Book,Action & Adventure,2016-04-15,95%,316,86%,94439,"$177,000,000 ","$363,995,937 ","$966,600,000 ",111,"Mowgli, a man-cub raised in the jungle by a family of wolves, embarks on a captivating journey of self-discovery when he's forced to abandon the only home he's ever known.","As lovely to behold as it is engrossing to watch, The Jungle Book is the rare remake that actually improves upon its predecessors -- all while setting a new standard for CGI.",Walt Disney Pictures,PG ,https://www.rottentomatoes.com/m/the_jungle_book_2016/
Kedi,Documentary,2017-02-10,98%,123,85%,6567,"$1,000,000 ","$2,807,328 ","$4,000,000 ",79,"KEDi is not a documentary about house cats or the strays you occasionally see in your back yard. KEDi is a film about the hundreds of thousands of cats who have roamed the metropolis of Istanbul freely for thousands of years, wandering in and out of people's lives, impacting them in ways only an animal who lives between the worlds of the wild and the tamed can. Cats and their kittens bring joy and purpose to those they choose, giving people an opportunity to reflect on life and their place in it. In Istanbul, cats are the mirrors to ourselves. ""Cats - tabbies, calicos, angoras, Norwegian forest cats; ginger cats, grey cats, black cats, white cats, black and white cats - all kinds of cats, roam the city, free, without a human master. Some fend for themselves, scavenging from dumpsters, living in abandoned buildings, others are cared for by communities of people, pampered with the best cat food and given shelter for the cold months. Cats have been a part of the city for thousands of years, and so, everyone who grows up in Istanbul or lives in Istanbul has a story about a cat. Stories that are memorable; sometimes scary, sometimes spiritual, but always very personal. Street cats are such a big part of the culture that when US president Barack Obama visited Istanbul, part of his tour included a stop at the Hagia Sophia to visit its famous cat, Gli. Cats are as integral to the identity of Istanbul as its monuments, the Bosporus, tea, raki and fish restaurants."" Ceyda Torun","Kedi is a cat fancier's dream, but this thoughtful, beautifully filmed look at Istanbul's street feline population offers absorbing viewing for filmgoers of any purr-suasion.",Oscilloscope Laboratories,NR,https://www.rottentomatoes.com/m/kedi_2017/
The King's Speech,Drama,2010-11-26,95%,292,92%,144367,"$15,000,000 ","$138,300,000 ","$414,200,000 ",118,"After the death of his father King George V (Michael Gambon) and the scandalous abdication of King Edward VIII (Guy Pearce), Bertie (Colin Firth) who has suffered from a debilitating speech impediment all his life, is suddenly crowned King George VI of England. With his country on the brink of war and in desperate need of a leader, his wife, Elizabeth (Helena Bonham Carter), the future Queen Mother, arranges for her husband to see an eccentric speech therapist, Lionel Logue (Geoffrey Rush). After a rough start, the two delve into an unorthodox course of treatment and eventually form an unbreakable bond. With the support of Logue, his family, his government and Winston Churchill (Timothy Spall), the King will overcome his stammer and deliver a radio-address that inspires his people and unites them in battle. Based on the true story of King George VI, THE KING'S SPEECH follows the Royal Monarch's quest to find his voice. -- (C) Weinstein","Colin Firth gives a masterful performance in The King's Speech, a predictable but stylishly produced and rousing period drama.",The Weinstein Company,PG-13 ,https://www.rottentomatoes.com/m/the_kings_speech/
Knives Out,Mystery & Suspense,2019-11-27,97%,408,92%,26184,"$40,000,000 ","$130,119,450 ","$248,400,000 ",130,"Acclaimed writer and director Rian Johnson (Brick, Looper, Star Wars: The Last Jedi) pays tribute to mystery mastermind Agatha Christie in KNIVES OUT, a fun, modern-day murder mystery where everyone is a suspect. When renowned crime novelist Harlan Thrombey (Christopher Plummer) is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc (Daniel Craig) is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death. With an all-star ensemble cast including Chris Evans, Ana de Armas, Jamie Lee Curtis, Toni Collette, Don Johnson, Michael Shannon, LaKeith Stanfield, Katherine Langford and Jaeden Martell, KNIVES OUT is a witty and stylish whodunit guaranteed to keep audiences guessing until the very end.",Knives Out sharpens old murder-mystery tropes with a keenly assembled suspense outing that makes brilliant use of writer-director Rian Johnson's stellar ensemble.,Lionsgate,PG-13 ,https://www.rottentomatoes.com/m/knives_out/
Kubo and the Two Strings,Animation,2016-08-19,97%,215,86%,35.313,"$60,000,000 ","$48,019,281 ","$77,500,000 ",101,"Kubo and the Two Strings is an epic action-adventure set in a fantastical Japan from acclaimed animation studio LAIKA. Clever, kindhearted Kubo (voiced by Art Parkinson of ""Game of Thrones"") ekes out a humble living, telling stories to the people of his seaside town including Hosato (George Takei), Akihiro (Cary-Hiroyuki Tagawa), and Kameyo (Academy Award nominee Brenda Vaccaro). But his relatively quiet existence is shattered when he accidentally summons a spirit from his past which storms down from the heavens to enforce an age-old vendetta. Now on the run, Kubo joins forces with Monkey (Academy Award winner Charlize Theron) and Beetle (Academy Award winner Matthew McConaughey), and sets out on a thrilling quest to save his family and solve the mystery of his fallen father, the greatest samurai warrior the world has ever known. With the help of his shamisen - a magical musical instrument - Kubo must battle gods and monsters, including the vengeful Moon King (Academy Award nominee Ralph Fiennes) and the evil twin Sisters (Academy Award nominee Rooney Mara), to unlock the secret of his legacy, reunite his family, and fulfill his heroic destiny.",Kubo and the Two Strings matches its incredible animation with an absorbing -- and bravely melancholy -- story that has something to offer audiences of all ages.,Focus Features,PG ,https://www.rottentomatoes.com/m/kubo_and_the_two_strings_2016/
